"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569832.325","2625698.328","3351955.414","3910614.491","4413407.803","12122904.78","2011173.248","3016759.872","6368715.286","1083798.88268156","1335195.53072626","1329608.93854749","273743.016759777","1458100.55865922","819846.096273242","1036166.00246323","5195530.72625699","6759776.53631285","9050279.32960894","4972067.03910615","5307262.5698324","4860335.19553072","6368715.08379888","7486033.51955307","7765363.12849162","",
"Andorra","AND","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105686038.835","152206607.64","342065525.9928","185349162.1249","251736723.375763","313756248.089209","268060745.211873","301173787.982201","",
"Angola","AGO","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5142000.198","","","","","","","","","","","","82084000","162358.5","17972037","204751.1","45000","0","30971119.270778","11114711.6","",
"Albania","ALB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151800003.1","332000000","307100006.1","427299987.8","550900024.4","300299987.8","504140014.6","407200012.2","597800000","699300000","733570000","888748582.309638","1160672105.01954","1289704315.92613","1359467324.66364","1468020000","1495038254.38923","1318476279.63351","1156021682.13726","1125664515.94743","1027055044.84093","1093922786.68899","1141665181.67832","1046987607.21183","",
"Arab World","ARB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","211000000","238000000","247719978.33","269739208.22","276823417.66","966117778.4155","1355695710.451","2637034422.268","4405529374.2231","5563872498.035","6403246145.362","5907729369.142","5862270293.564","7173076350.713","7371483942.2029","6449093710.8198","6277412014.418","7601042249.332","7479027555.62","6950298994.67","9699913088.511","9774454435.2","12849686881.67","11791714150.847","10391224182.095","10852963784.682","10855496316.953","11656405960.992","12025939234.626","11729180621.29","11476946812.593","12851715141.7269","15829429504.1508","20315426610.7454","23393248045.0264","22641044383.0081","24459833886.6981","29515109287.8594","33883862248.7008","31754287807.2673","37780561643.3635","40603186949.8396","47556161314.0219","48516748689.1379","52406444302.1836","48375033520.0015","",
"United Arab Emirates","ARE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","26000000","42000000","56000000","42000000","28000000","28000000","32000000","27000000","32000000","34000000","30280000.69","26559999.47","22840000.15","19120000.84","15399999.62","57700000.76","62400001.53","63599998.47","65000000","65699996.95","68500000","64300003.05","86343658.5898822","189600000","206630000","273420000","311780000","432090000","541300000","606430000","697560000","620589349.925834","644300740.057192","697379575.129916","576483051.580408","533780605.707285","504258996.378714","483107252.67046","",
"Armenia","ARM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65349998.47","83860000.61","136139999.4","92410003.66","94650001.53","182160000","209240000","263890000","335860000","787519510.008093","915231161.780943","1169173062.59984","1644375090.62217","1904067122.6008","1439809231.68406","1669336819.11366","1798624692.26173","1914983996.61627","2192193826.94676","2078618314.80089","1491475903.47047","",
"American Samoa","ASM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
