,State,Arrest_Number,Border
0,AK,10,Y
1,AL,1173,N
2,AR,859,N
3,AZ,10568,Y
4,CA,24843,Y
5,CO,2434,N
6,CT,418,N
7,DC,175,N
8,DE,195,N
9,FL,4820,N
10,GA,5276,N
11,GM,38,N
12,HI,108,N
13,IA,597,N
14,ID,562,Y
15,IL,2379,N
16,IN,1181,N
17,KS,958,N
18,KY,873,N
19,LA,1047,N
20,MA,1173,N
21,MD,867,N
22,ME,13,Y
23,MI,1233,Y
24,MK,2,N
25,MN,964,Y
26,MO,698,N
27,MS,1256,N
28,MT,30,Y
29,NB,608,N
30,NC,2875,N
31,ND,83,Y
32,NH,114,Y
33,NJ,1154,N
34,NM,4508,Y
35,NV,1587,N
36,NY,2955,Y
37,OH,1320,N
38,OK,1406,N
39,OR,905,N
40,PA,1891,N
41,PR,50,N
42,RI,96,N
43,SC,1590,N
44,SD,155,N
45,TN,1820,N
46,TX,54588,Y
47,UT,1564,N
48,VA,2528,N
49,VI,3,N
50,VT,22,Y
51,WA,1984,Y
52,WI,611,N
53,WV,259,N
54,WY,175,N
