,Citizenship Country,Arrest Date
0,AFGHANISTAN,9
1,ALBANIA,28
2,ALGERIA,11
3,ANGOLA,6
4,ANGUILLA,1
5,ANTIGUA-BARBUDA,17
6,ARGENTINA,76
7,ARMENIA,24
8,ARUBA,1
9,AUSTRALIA,20
10,AUSTRIA,4
11,AZERBAIJAN,5
12,BAHAMAS,111
13,BAHRAIN,2
14,BANGLADESH,58
15,BARBADOS,14
16,BELARUS,5
17,BELGIUM,12
18,BELIZE,92
19,BENIN,6
20,BERMUDA,2
21,BOLIVIA,49
22,BOSNIA-HERZEGOVINA,61
23,BOTSWANA,1
24,BRAZIL,431
25,BRITISH VIRGIN ISLANDS,4
26,BULGARIA,25
27,BURKINA FASO,5
28,BURMA,4
29,BURUNDI,2
30,CAMBODIA,44
31,CAMEROON,25
32,CANADA,358
33,CAPE VERDE,14
34,CAYMAN ISLANDS,3
35,CHILE,98
36,"CHINA, PEOPLES REPUBLIC OF",221
37,COLOMBIA,829
38,COMOROS,1
39,CONGO,5
40,COSTA RICA,103
41,CROATIA,5
42,CUBA,25
43,CYPRUS,1
44,CZECH REPUBLIC,28
45,CZECHOSLOVAKIA,4
46,DEM REP OF THE CONGO,7
47,DENMARK,2
48,DOMINICA,10
49,DOMINICAN REPUBLIC,1800
50,ECUADOR,508
51,EGYPT,41
52,EL SALVADOR,6859
53,EQUATORIAL GUINEA,3
54,ESTONIA,13
55,ETHIOPIA,23
56,FIJI,19
57,FINLAND,2
58,FRANCE,44
59,GABON,3
60,GAMBIA,13
61,GEORGIA,20
62,GERMANY,62
63,GHANA,87
64,GREECE,11
65,GRENADA,13
66,GUADELOUPE,17
67,GUAM,1
68,GUATEMALA,8610
69,GUINEA,18
70,GUINEA-BISSAU,3
71,GUYANA,97
72,HAITI,545
73,HONDURAS,9086
74,HONG KONG,7
75,HUNGARY,32
76,INDIA,255
77,INDONESIA,19
78,IRAN,23
79,IRAQ,25
80,IRELAND,34
81,ISRAEL,49
82,ITALY,57
83,IVORY COAST,15
84,JAMAICA,871
85,JAPAN,20
86,JORDAN,70
87,KAZAKHSTAN,15
88,KENYA,106
89,KOREA,29
90,KOSOVO,6
91,KUWAIT,9
92,KYRGYZSTAN,7
93,LATVIA,29
94,LEBANON,24
95,LESOTHO,1
96,LIBERIA,60
97,LIBYA,4
98,LITHUANIA,26
99,MACEDONIA,5
100,MALAWI,4
101,MALAYSIA,15
102,MALI,10
103,MALTA,1
104,MARSHALL ISLANDS,33
105,MAURITANIA,4
106,MAURITIUS,1
107,MEXICO,113697
108,"MICRONESIA, FEDERATED STATES OF",77
109,MOLDOVA,30
110,MONGOLIA,12
111,MONTENEGRO,3
112,MOROCCO,37
113,MOZAMBIQUE,1
114,NAMIBIA,2
115,NEPAL,18
116,NETHERLANDS,31
117,NETHERLANDS ANTILLES,4
118,NEW ZEALAND,22
119,NICARAGUA,479
120,NIGER,11
121,NIGERIA,156
122,NORWAY,2
123,OMAN,1
124,PAKISTAN,56
125,PALAU,14
126,PANAMA,62
127,PAPUA NEW GUINEA,1
128,PARAGUAY,3
129,PERU,267
130,PHILIPPINES,191
131,POLAND,98
132,PORTUGAL,53
133,PUERTO RICO,1
134,QATAR,2
135,ROMANIA,143
136,RUSSIA,84
137,RWANDA,4
138,SAMOA,1
139,SAUDI ARABIA,111
140,SENEGAL,37
141,SERBIA,16
142,SERBIA AND MONTENEGRO,1
143,SEYCHELLES,1
144,SIERRA LEONE,18
145,SINGAPORE,4
146,SLOVAKIA,12
147,SLOVENIA,3
148,SOMALIA,78
149,SOUTH AFRICA,30
150,SOUTH KOREA,119
151,SPAIN,77
152,SRI LANKA,10
153,ST. KITTS-NEVIS,13
154,ST. LUCIA,15
155,ST. VINCENT-GRENADINES,12
156,STATELESS,2
157,SUDAN,5
158,SURINAME,4
159,SWAZILAND,1
160,SWEDEN,11
161,SWITZERLAND,4
162,SYRIA,1
163,TAIWAN,18
164,TAJIKISTAN,7
165,TANZANIA,12
166,THAILAND,31
167,TOGO,6
168,TONGA,19
169,TRINIDAD AND TOBAGO,107
170,TUNISIA,9
171,TURKEY,25
172,TURKMENISTAN,2
173,TURKS AND CAICOS ISLANDS,2
174,UGANDA,4
175,UKRAINE,59
176,UNITED ARAB EMIRATES,1
177,UNITED KINGDOM,186
178,UNITED STATES,12
179,UNKNOWN,95
180,URUGUAY,24
181,USSR,2
182,UZBEKISTAN,17
183,VENEZUELA,93
184,VIETNAM,37
185,YEMEN,6
186,YUGOSLAVIA,14
187,ZAMBIA,12
188,ZIMBABWE,12
