,Citizenship Country,Arrest Date
0,MEXICO,113697
1,HONDURAS,9086
2,GUATEMALA,8610
3,EL SALVADOR,6859
4,DOMINICAN REPUBLIC,1800
5,JAMAICA,871
6,COLOMBIA,829
7,HAITI,545
8,ECUADOR,508
9,NICARAGUA,479
10,BRAZIL,431
11,CANADA,358
12,PERU,267
13,INDIA,255
14,"CHINA, PEOPLES REPUBLIC OF",221
15,PHILIPPINES,191
16,UNITED KINGDOM,186
17,NIGERIA,156
18,ROMANIA,143
19,SOUTH KOREA,119
20,BAHAMAS,111
21,SAUDI ARABIA,111
22,TRINIDAD AND TOBAGO,107
23,KENYA,106
24,COSTA RICA,103
25,POLAND,98
26,CHILE,98
27,GUYANA,97
28,UNKNOWN,95
29,VENEZUELA,93
30,BELIZE,92
31,GHANA,87
32,RUSSIA,84
33,SOMALIA,78
34,"MICRONESIA, FEDERATED STATES OF",77
35,SPAIN,77
36,ARGENTINA,76
37,JORDAN,70
38,GERMANY,62
39,PANAMA,62
40,BOSNIA-HERZEGOVINA,61
41,LIBERIA,60
42,UKRAINE,59
43,BANGLADESH,58
44,ITALY,57
45,PAKISTAN,56
46,PORTUGAL,53
47,BOLIVIA,49
48,ISRAEL,49
49,CAMBODIA,44
50,FRANCE,44
51,EGYPT,41
52,MOROCCO,37
53,VIETNAM,37
54,SENEGAL,37
55,IRELAND,34
56,MARSHALL ISLANDS,33
57,HUNGARY,32
58,THAILAND,31
59,NETHERLANDS,31
60,MOLDOVA,30
61,SOUTH AFRICA,30
62,LATVIA,29
63,KOREA,29
64,CZECH REPUBLIC,28
65,ALBANIA,28
66,LITHUANIA,26
67,IRAQ,25
68,CUBA,25
69,TURKEY,25
70,BULGARIA,25
71,CAMEROON,25
72,LEBANON,24
73,ARMENIA,24
74,URUGUAY,24
75,ETHIOPIA,23
76,IRAN,23
77,NEW ZEALAND,22
78,GEORGIA,20
79,AUSTRALIA,20
80,JAPAN,20
81,INDONESIA,19
82,FIJI,19
83,TONGA,19
84,TAIWAN,18
85,NEPAL,18
86,GUINEA,18
87,SIERRA LEONE,18
88,GUADELOUPE,17
89,ANTIGUA-BARBUDA,17
90,UZBEKISTAN,17
91,SERBIA,16
92,KAZAKHSTAN,15
93,IVORY COAST,15
94,ST. LUCIA,15
95,MALAYSIA,15
96,YUGOSLAVIA,14
97,BARBADOS,14
98,PALAU,14
99,CAPE VERDE,14
100,ESTONIA,13
101,GAMBIA,13
102,GRENADA,13
103,ST. KITTS-NEVIS,13
104,SLOVAKIA,12
105,UNITED STATES,12
106,TANZANIA,12
107,MONGOLIA,12
108,ZAMBIA,12
109,ST. VINCENT-GRENADINES,12
110,ZIMBABWE,12
111,BELGIUM,12
112,ALGERIA,11
113,SWEDEN,11
114,GREECE,11
115,NIGER,11
116,DOMINICA,10
117,MALI,10
118,SRI LANKA,10
119,AFGHANISTAN,9
120,TUNISIA,9
121,KUWAIT,9
122,KYRGYZSTAN,7
123,DEM REP OF THE CONGO,7
124,TAJIKISTAN,7
125,HONG KONG,7
126,TOGO,6
127,BENIN,6
128,KOSOVO,6
129,ANGOLA,6
130,YEMEN,6
131,BELARUS,5
132,CONGO,5
133,SUDAN,5
134,BURKINA FASO,5
135,CROATIA,5
136,MACEDONIA,5
137,AZERBAIJAN,5
138,MALAWI,4
139,RWANDA,4
140,BRITISH VIRGIN ISLANDS,4
141,LIBYA,4
142,NETHERLANDS ANTILLES,4
143,SWITZERLAND,4
144,SURINAME,4
145,MAURITANIA,4
146,SINGAPORE,4
147,UGANDA,4
148,AUSTRIA,4
149,CZECHOSLOVAKIA,4
150,BURMA,4
151,CAYMAN ISLANDS,3
152,MONTENEGRO,3
153,GABON,3
154,SLOVENIA,3
155,PARAGUAY,3
156,GUINEA-BISSAU,3
157,EQUATORIAL GUINEA,3
158,NORWAY,2
159,TURKS AND CAICOS ISLANDS,2
160,TURKMENISTAN,2
161,BAHRAIN,2
162,USSR,2
163,QATAR,2
164,BERMUDA,2
165,FINLAND,2
166,BURUNDI,2
167,NAMIBIA,2
168,DENMARK,2
169,STATELESS,2
170,PAPUA NEW GUINEA,1
171,ARUBA,1
172,ANGUILLA,1
173,OMAN,1
174,MALTA,1
175,MOZAMBIQUE,1
176,LESOTHO,1
177,MAURITIUS,1
178,UNITED ARAB EMIRATES,1
179,COMOROS,1
180,PUERTO RICO,1
181,BOTSWANA,1
182,GUAM,1
183,SAMOA,1
184,SYRIA,1
185,SERBIA AND MONTENEGRO,1
186,SWAZILAND,1
187,SEYCHELLES,1
188,CYPRUS,1
