GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino:,Margin of Error; Total: - Hispanic or Latino:
0400000US01,01,Alabama,4830620,*****,193492,582
0400000US02,02,Alaska,733375,*****,47808,108
0400000US04,04,Arizona,6641928,*****,2014711,*****
0400000US05,05,Arkansas,2958208,*****,203226,172
0400000US06,06,California,38421464,*****,14750686,*****
0400000US08,08,Colorado,5278906,*****,1112586,293
0400000US09,09,Connecticut,3593222,*****,526508,*****
0400000US10,10,Delaware,926454,*****,80706,*****
0400000US11,11,District of Columbia,647484,*****,65803,*****
0400000US12,12,Florida,19645772,*****,4660733,157
0400000US13,13,Georgia,10006693,*****,915120,643
0400000US15,15,Hawaii,1406299,*****,139251,*****
0400000US16,16,Idaho,1616547,*****,191314,110
0400000US17,17,Illinois,12873761,*****,2122841,425
0400000US18,18,Indiana,6568645,*****,421206,151
0400000US19,19,Iowa,3093526,*****,168230,124
0400000US20,20,Kansas,2892987,*****,323218,81
0400000US21,21,Kentucky,4397353,*****,143481,449
0400000US22,22,Louisiana,4625253,*****,218263,395
0400000US23,23,Maine,1329100,*****,19447,*****
0400000US24,24,Maryland,5930538,*****,533671,*****
0400000US25,25,Massachusetts,6705586,*****,707928,480
0400000US26,26,Michigan,9900571,*****,467021,69
0400000US27,27,Minnesota,5419171,*****,270984,69
0400000US28,28,Mississippi,2988081,*****,86507,800
0400000US29,29,Missouri,6045448,*****,233046,397
0400000US30,30,Montana,1014699,*****,33622,171
0400000US31,31,Nebraska,1869365,*****,186268,78
0400000US32,32,Nevada,2798636,*****,770553,*****
0400000US33,33,New Hampshire,1324201,*****,42141,*****
0400000US34,34,New Jersey,8904413,*****,1688008,*****
0400000US35,35,New Mexico,2084117,*****,986972,*****
0400000US36,36,New York,19673174,*****,3619658,*****
0400000US37,37,North Carolina,9845333,*****,869908,192
0400000US38,38,North Dakota,721640,*****,20569,124
0400000US39,39,Ohio,11575977,*****,390970,68
0400000US40,40,Oklahoma,3849733,*****,371459,*****
0400000US41,41,Oregon,3939233,*****,485646,*****
0400000US42,42,Pennsylvania,12779559,*****,815538,259
0400000US44,44,Rhode Island,1053661,*****,143788,*****
0400000US45,45,South Carolina,4777576,*****,254092,129
0400000US46,46,South Dakota,843190,*****,27914,331
0400000US47,47,Tennessee,6499615,*****,320090,200
0400000US48,48,Texas,26538614,*****,10196367,434
0400000US49,49,Utah,2903379,*****,389856,*****
0400000US50,50,Vermont,626604,*****,10691,*****
0400000US51,51,Virginia,8256630,*****,709156,428
0400000US53,53,Washington,6985464,*****,835488,*****
0400000US54,54,West Virginia,1851420,*****,25408,480
0400000US55,55,Wisconsin,5742117,*****,364558,*****
0400000US56,56,Wyoming,579679,*****,55698,108
0400000US72,72,Puerto Rico,3583073,*****,3547288,1842
1600000US4273808,4273808,"State College borough, Pennsylvania",42129,41,1861,274
