,State,Arrest_Number,NONCITZ,Percent_NONCITZ,TOTPOP,Total_Pop,Hisp_Pop,Percent_Hispanic
0,AK,3,277.75555555555553,2.3933532220941407,11605.288888888888,733375,47808,6.518902335094596
1,AL,440,340.0,5.432177664163604,6259.0,4830620,193492,4.005531381064956
2,AR,350,88.0,2.7716535433070866,3175.0,2958208,203226,6.869902319241919
3,AZ,4685,256.0,2.388951101157148,10716.0,6641928,2014711,30.333225533309005
4,CA,9827,1384.0,1.8826346002122047,73514.0,38421464,14750686,38.39178538329513
5,CO,901,327.0,3.7020264915657193,8833.0,5278906,1112586,21.076071443590774
6,CT,158,277.75555555555553,2.3933532220941407,11605.288888888888,3593222,526508,14.652810207663206
7,DC,63,53.0,2.8664142779881017,1849.0,647484,65803,10.162876611622835
8,DE,75,277.75555555555553,2.3933532220941407,11605.288888888888,926454,80706,8.711279782914207
9,FL,1824,903.0,1.9141088689163983,47176.0,19645772,4660733,23.723847553560123
10,GA,2004,544.0,2.113360009323647,25741.0,10006693,915120,9.14507919849245
11,HI,46,277.75555555555553,2.3933532220941407,11605.288888888888,1406299,139251,9.901948305445712
12,IA,199,85.0,4.166666666666666,2040.0,3093526,168230,5.438131116402448
13,ID,233,104.0,2.7455121436114043,3788.0,1616547,191314,11.834731684262815
14,IL,894,331.0,2.187128320338311,15134.0,12873761,2122841,16.489672287686556
15,IN,487,121.0,1.3280649764021513,9111.0,6568645,421206,6.412372719183332
16,KS,349,44.0,1.338199513381995,3288.0,2892987,323218,11.172466381632548
17,KY,325,224.0,1.735089078233927,12910.0,4397353,143481,3.2628947459983313
18,LA,387,98.0,0.4501814506867564,21769.0,4625253,218263,4.718941861126299
19,MA,330,417.0,3.9767308792675946,10486.0,6705586,707928,10.557287610657742
20,MD,328,299.0,3.0799340749896995,9708.0,5930538,533671,8.998694553512683
21,ME,3,4.0,1.0126582278481013,395.0,1329100,19447,1.4631705665487924
22,MI,444,239.0,2.247930775018811,10632.0,9900571,467021,4.717111770624139
23,MN,334,163.0,4.059775840597759,4015.0,5419171,270984,5.000469629026285
24,MO,240,59.0,1.2978442586889574,4546.0,6045448,233046,3.8549004143282684
25,MS,459,51.0,0.7149866816206365,7133.0,2988081,86507,2.8950687749093817
26,MT,10,4.0,0.4119464469618949,971.0,1014699,33622,3.3134949379076946
27,NC,982,277.0,3.255759285378467,8508.0,9845333,869908,8.835739735771252
28,ND,27,10.0,1.0964912280701753,912.0,721640,20569,2.850313175544593
29,NH,39,95.0,6.324900133155792,1502.0,1324201,42141,3.1823718604652917
30,NJ,430,626.0,4.376704187932601,14303.0,8904413,1688008,18.95698234122788
31,NM,1905,304.0,12.773109243697478,2380.0,2084117,986972,47.35684225021915
32,NV,557,263.0,3.8580020536893063,6817.0,2798636,770553,27.533162583487098
33,NY,1092,381.0,2.2851316499730103,16673.0,19673174,3619658,18.398952807513417
34,OH,523,207.0,1.8418008719636978,11239.0,11575977,390970,3.3774255080154356
35,OK,574,139.0,2.2608978529603125,6148.0,3849733,371459,9.64895487557189
36,OR,357,82.0,4.963680387409201,1652.0,3939233,485646,12.328440587291993
37,PA,738,522.0,1.6484557569633047,31666.0,12779559,815538,6.3815817118571925
38,RI,33,277.75555555555553,2.3933532220941407,11605.288888888888,1053661,143788,13.646514391251078
39,SC,622,250.0,3.06597988717194,8154.0,4777576,254092,5.318429262035811
40,SD,50,15.0,1.3089005235602094,1146.0,843190,27914,3.31052313239009
41,TN,659,304.0,1.6358157554885924,18584.0,6499615,320090,4.924753235383942
42,TX,22238,1546.0,3.106538600651047,49766.0,26538614,10196367,38.42087231835091
43,UT,600,196.0,3.982930298719772,4921.0,2903379,389856,13.42766480022071
44,VA,915,536.0,2.270128330015671,23611.0,8256630,709156,8.588927928222532
45,VT,5,277.75555555555553,2.3933532220941407,11605.288888888888,626604,10691,1.7061812564235148
46,WA,809,332.0,4.647907041859163,7143.0,6985464,835488,11.960379439361509
47,WI,238,159.0,2.0275439938791124,7842.0,5742117,364558,6.348843118313333
48,WV,111,18.0,0.42796005706134094,4206.0,1851420,25408,1.3723520324939775
49,WY,64,4.0,0.7736943907156674,517.0,579679,55698,9.608421212429638
