GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Hispanic or Latino:
0500000US01001,01001,"Autauga County, Alabama",55049,1416
0500000US01003,01003,"Baldwin County, Alabama",199510,8712
0500000US01005,01005,"Barbour County, Alabama",26614,1147
0500000US01007,01007,"Bibb County, Alabama",22572,502
0500000US01009,01009,"Blount County, Alabama",57704,5036
0500000US01011,01011,"Bullock County, Alabama",10552,13
0500000US01013,01013,"Butler County, Alabama",20280,253
0500000US01015,01015,"Calhoun County, Alabama",115883,3982
0500000US01017,01017,"Chambers County, Alabama",34018,148
0500000US01019,01019,"Cherokee County, Alabama",25897,405
0500000US01021,01021,"Chilton County, Alabama",43817,3341
0500000US01023,01023,"Choctaw County, Alabama",13287,74
0500000US01025,01025,"Clarke County, Alabama",24847,43
0500000US01027,01027,"Clay County, Alabama",13483,419
0500000US01029,01029,"Cleburne County, Alabama",14991,349
0500000US01031,01031,"Coffee County, Alabama",50991,3344
0500000US01033,01033,"Colbert County, Alabama",54377,1306
0500000US01035,01035,"Conecuh County, Alabama",12697,224
0500000US01037,01037,"Coosa County, Alabama",10864,140
0500000US01039,01039,"Covington County, Alabama",37729,578
0500000US01041,01041,"Crenshaw County, Alabama",13896,234
0500000US01043,01043,"Cullman County, Alabama",81316,3426
0500000US01045,01045,"Dale County, Alabama",49607,2921
0500000US01047,01047,"Dallas County, Alabama",41426,397
0500000US01049,01049,"DeKalb County, Alabama",70937,9942
0500000US01051,01051,"Elmore County, Alabama",80957,2268
0500000US01053,01053,"Escambia County, Alabama",37875,780
0500000US01055,01055,"Etowah County, Alabama",103363,3752
0500000US01057,01057,"Fayette County, Alabama",16783,144
0500000US01059,01059,"Franklin County, Alabama",31573,5057
0500000US01061,01061,"Geneva County, Alabama",26765,992
0500000US01063,01063,"Greene County, Alabama",8587,53
0500000US01065,01065,"Hale County, Alabama",15159,183
0500000US01067,01067,"Henry County, Alabama",17187,435
0500000US01069,01069,"Houston County, Alabama",103891,3311
0500000US01071,01071,"Jackson County, Alabama",52608,1435
0500000US01073,01073,"Jefferson County, Alabama",659096,24316
0500000US01075,01075,"Lamar County, Alabama",14066,201
0500000US01077,01077,"Lauderdale County, Alabama",92641,2217
0500000US01079,01079,"Lawrence County, Alabama",33433,691
0500000US01081,01081,"Lee County, Alabama",153947,5681
0500000US01083,01083,"Limestone County, Alabama",90257,5135
0500000US01085,01085,"Lowndes County, Alabama",10565,50
0500000US01087,01087,"Macon County, Alabama",19684,324
0500000US01089,01089,"Madison County, Alabama",349973,16362
0500000US01091,01091,"Marengo County, Alabama",20066,190
0500000US01093,01093,"Marion County, Alabama",30239,726
0500000US01095,01095,"Marshall County, Alabama",94534,12210
0500000US01097,01097,"Mobile County, Alabama",414291,10957
0500000US01099,01099,"Monroe County, Alabama",21975,136
0500000US01101,01101,"Montgomery County, Alabama",227392,7530
0500000US01103,01103,"Morgan County, Alabama",119555,9339
0500000US01105,01105,"Perry County, Alabama",9856,94
0500000US01107,01107,"Pickens County, Alabama",20042,486
0500000US01109,01109,"Pike County, Alabama",33277,730
0500000US01111,01111,"Randolph County, Alabama",22615,661
0500000US01113,01113,"Russell County, Alabama",58636,2974
0500000US01115,01115,"St. Clair County, Alabama",86576,1961
0500000US01117,01117,"Shelby County, Alabama",205951,11861
0500000US01119,01119,"Sumter County, Alabama",13285,39
0500000US01121,01121,"Talladega County, Alabama",81057,1752
0500000US01123,01123,"Tallapoosa County, Alabama",40958,988
0500000US01125,01125,"Tuscaloosa County, Alabama",202471,6666
0500000US01127,01127,"Walker County, Alabama",65593,1483
0500000US01129,01129,"Washington County, Alabama",16909,219
0500000US01131,01131,"Wilcox County, Alabama",11119,62
0500000US01133,01133,"Winston County, Alabama",24013,700
0500000US02013,02013,"Aleutians East Borough, Alaska",3299,331
0500000US02016,02016,"Aleutians West Census Area, Alaska",5714,790
0500000US02020,02020,"Anchorage Municipality, Alaska",299321,26091
0500000US02050,02050,"Bethel Census Area, Alaska",17885,359
0500000US02060,02060,"Bristol Bay Borough, Alaska",942,46
0500000US02068,02068,"Denali Borough, Alaska",2125,17
0500000US02070,02070,"Dillingham Census Area, Alaska",4980,147
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",100150,7486
0500000US02100,02100,"Haines Borough, Alaska",2528,41
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2107,105
0500000US02110,02110,"Juneau City and Borough, Alaska",32524,2048
