GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,318558162,*****
0400000US01,01,Alabama,4841164,*****
0400000US02,02,Alaska,736855,*****
0400000US04,04,Arizona,6728577,*****
0400000US05,05,Arkansas,2968472,*****
0400000US06,06,California,38654206,*****
0400000US08,08,Colorado,5359295,*****
0400000US09,09,Connecticut,3588570,*****
0400000US10,10,Delaware,934695,*****
0400000US11,11,District of Columbia,659009,*****
0400000US12,12,Florida,19934451,*****
0400000US13,13,Georgia,10099320,*****
0400000US15,15,Hawaii,1413673,*****
0400000US16,16,Idaho,1635483,*****
0400000US17,17,Illinois,12851684,*****
0400000US18,18,Indiana,6589578,*****
0400000US19,19,Iowa,3106589,*****
0400000US20,20,Kansas,2898292,*****
0400000US21,21,Kentucky,4411989,*****
0400000US22,22,Louisiana,4645670,*****
0400000US23,23,Maine,1329923,*****
0400000US24,24,Maryland,5959902,*****
0400000US25,25,Massachusetts,6742143,*****
0400000US26,26,Michigan,9909600,*****
0400000US27,27,Minnesota,5450868,*****
0400000US28,28,Mississippi,2989192,*****
0400000US29,29,Missouri,6059651,*****
0400000US30,30,Montana,1023391,*****
0400000US31,31,Nebraska,1881259,*****
0400000US32,32,Nevada,2839172,*****
0400000US33,33,New Hampshire,1327503,*****
0400000US34,34,New Jersey,8915456,*****
0400000US35,35,New Mexico,2082669,*****
0400000US36,36,New York,19697457,*****
0400000US37,37,North Carolina,9940828,*****
0400000US38,38,North Dakota,736162,*****
0400000US39,39,Ohio,11586941,*****
0400000US40,40,Oklahoma,3875589,*****
0400000US41,41,Oregon,3982267,*****
0400000US42,42,Pennsylvania,12783977,*****
0400000US44,44,Rhode Island,1054491,*****
0400000US45,45,South Carolina,4834605,*****
0400000US46,46,South Dakota,851058,*****
0400000US47,47,Tennessee,6548009,*****
0400000US48,48,Texas,26956435,*****
0400000US49,49,Utah,2948427,*****
0400000US50,50,Vermont,626249,*****
0400000US51,51,Virginia,8310301,*****
0400000US53,53,Washington,7073146,*****
0400000US54,54,West Virginia,1846092,*****
0400000US55,55,Wisconsin,5754798,*****
0400000US56,56,Wyoming,583029,*****
0400000US72,72,Puerto Rico,3529385,*****
