RTIID	GID	JURISID	COUNTY	NAME	YEAR	CITY	STATE	ZIP	STATEFIPS	CNTYCODE	STRATUM	FINALWT	DESIGNWT	CLASS	STATUS	CONFPOPJUNE	CONFPOPJUNE_FLAG	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEK_FLAG	WEEKN	WEEKN_FLAG	NONCITZ	NONCITZ_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	CONV	CONV_FLAG	UNCONV	UNCONV_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	OTHERFEDSPEC	OTHERFED	OTHERFED_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	OTHERHOLDTOT	OTHERHOLDTOT_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPM	ADPM_FLAG	ADPF	ADPF_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISM	ADMISM_FLAG	ADMISF	ADMISF_FLAG	ADMIS	ADMIS_FLAG	RELEASEM	RELEASEM_FLAG	RELEASEF	RELEASEF_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	CORRSTAFF	CORRSTAFF_FLAG	CORRSTAFFM	CORRSTAFFM_FLAG	CORRSTAFFF	CORRSTAFFF_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	OTHERSTAFFM	OTHERSTAFFM_FLAG	OTHERSTAFFF	OTHERSTAFFF_FLAG	TOTALSTAFF	TOTALSTAFF_FLAG
10956003	011002002061000000000	011002002	BALDWIN COUNTY	BALDWIN COUNTY SHERIFF'S OFFICE	2016	BAY MINETTE	1	36507	01	01003	1	1.05357143	1	8	1	535	1	466	1	0	0	466	1	0	0	-9	-9	10	1	382	1	80	1	4	1	0	1	466	1	4	1	405	1	61	1	466	1	252	1	149	1	Other	65	1	466	1	311	1	133	1	20	1	0	0	2	1	0	0	0	0	 	0	0	0	0	466	1	33	1	14	1	0	1	0	1	 	0	1	50	1	0	1	0	1	2	1	0	1	99	1	1	509	1	448	1	90	1	538	1	651	0	6060	1	2041	1	8101	1	5950	1	2021	1	7971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	91	1	60	1	31	1	18	1	3	1	15	1	109	1
10956005	011004004061000000000	011004004	BIBB COUNTY	BIBB COUNTY SHERIFFS DEPARTMENT	2016	BRENT	1	35034	01	01007	9	9.29508197	9	19	1	69	1	69	1	0	0	69	0	0	0	-9	-9	0	0	61	1	8	1	0	1	0	1	69	1	0	0	14	1	55	1	69	1	30	1	39	1	 	0	0	69	1	52	1	13	1	4	1	0	0	0	0	0	0	0	0	 	0	0	0	0	69	1	0	0	0	0	0	0	0	0	 	0	0	1	0	0	0	0	0	3	1	0	1	4	1	31	69	1	67	2	7	2	74	2	82	1	2042	1	449	1	2491	1	1287	1	120	1	1407	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	15	1	10	1	5	1	0	0	0	0	0	0	15	1
10956016	011015015061000000000	011015015	CLEBURNE COUNTY	CLEBURNE COUNTY SHERIFFS OFFICE	2016	HEFLIN	1	36264	01	01029	9	9.29508197	9	19	1	79	0	50	0	0	0	50	0	0	0	-9	-9	2	1	41	0	9	0	0	0	0	0	50	0	0	0	10	1	40	1	50	0	40	1	10	1	 	0	0	50	0	41	1	7	0	2	1	0	0	0	0	0	0	0	0	 	0	0	0	0	50	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	65	0	50	1	8	1	58	1	90	0	567	0	227	0	794	0	574	0	227	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	14	0	9	0	5	0	1	0	1	0	0	0	15	0
10956023	011022022061000000000	011022022	CULLMAN COUNTY	CULLMAN COUNTY SHERIFFS OFFICE	2016	CULLMAN	1	35055	01	01043	7	1.30404508	1.27884614	17	1	324	0	307	0	0	0	307	0	1	0	5	1	25	1	246	1	61	1	0	0	0	0	307	0	0	0	51	0	256	0	307	0	264	1	43	1	 	0	0	307	0	252	1	30	1	25	1	0	0	0	0	0	0	0	0	 	0	0	0	0	307	0	27	0	11	0	0	0	0	0	 	0	0	51	0	0	0	0	0	0	0	0	0	89	0	13	324	0	252	1	63	1	315	0	326	0	3679	1	920	1	4599	0	3694	1	924	1	4618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	26	1	18	1	8	1	18	1	6	1	12	1	44	1
10956029	011028028061000000000	011028028	ETOWAH COUNTY	ETOWAH COUNTY SHERIFFS OFFICE	2016	GADSDEN	1	35901	01	01055	1	1.05357143	1	8	1	753	0	686	1	0	1	686	1	1	0	0	1	294	1	598	1	88	1	0	1	0	1	686	1	0	0	508	3	178	3	686	1	223	1	169	1	Hold for ICE	294	1	686	1	273	1	197	1	95	1	0	1	15	1	0	1	53	1	 	0	1	53	1	686	1	0	1	0	1	294	1	0	1	 	0	1	25	1	2	1	0	1	0	1	0	1	321	1	8	732	1	616	1	94	1	710	1	856	1	5501	3	809	3	6310	1	5470	3	805	3	6275	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	1	62	1	51	1	11	1	23	1	15	1	8	1	85	1
10956030	011029029061000000000	011029029	FAYETTE COUNTY	FAYETTE COUNTY SHERIFFS OFFICE	2016	FAYETTE	1	35555	01	01057	9	9.29508197	9	19	1	55	0	72	0	0	0	72	0	0	0	-9	-9	0	0	49	0	23	0	0	0	0	0	72	0	0	0	7	0	65	0	72	0	50	1	22	1	 	0	0	72	0	42	1	29	1	1	1	0	0	0	0	0	0	0	0	 	0	0	0	0	72	0	0	0	0	0	0	0	0	0	 	0	0	5	0	1	0	0	0	1	0	0	0	7	0	13	75	0	45	0	15	0	60	0	68	0	600	1	250	1	850	1	545	1	230	1	775	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	11	0	6	0	5	0	1	0	1	0	0	0	12	0
10956036	011035035061000000000	011035035	DALE COUNTY, HENRY COUNTY, HOUSTON COUNTY	HOUSTON COUNTY SHERIFFS OFFICE	2016	DOTHAN	1	36303	01	01069	7	1.30404508	1.27884614	17	1	261	0	253	0	0	0	253	0	1	0	0	0	0	1	216	0	34	0	3	0	0	0	253	0	3	0	230	1	23	1	253	0	200	1	53	1	 	0	0	253	0	109	0	140	0	4	0	0	0	0	0	0	0	0	0	 	0	0	0	0	253	0	0	0	0	0	0	0	0	0	 	0	0	15	1	0	0	0	0	0	0	0	0	15	0	2	279	0	250	1	35	1	285	0	396	0	3852	1	963	0	4815	1	3576	1	894	1	4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	63	0	40	0	23	0	8	0	1	0	7	0	71	0
10950037	011037037060000000100	011037037	JEFFERSON COUNTY, SHELBY COUNTY	JEFFERSON COUNTY SHERIFF'S OFFICE	2016	BIRMINGHAM	1	35203	01	01073	1	1.0546875	1	7	1	1084	1	1030	1	0	0	1030	1	1	0	2	1	50	1	900	1	110	1	20	1	0	1	1030	1	20	1	200	1	830	1	1030	1	980	1	50	1	 	0	0	1030	1	300	1	730	1	0	0	0	1	0	1	0	1	0	1	 	0	1	0	1	1030	1	10	1	0	1	0	1	0	1	 	0	1	200	1	0	1	0	1	0	1	0	1	210	1	7	1030	1	860	1	150	1	1010	1	1069	0	11417	1	3525	1	14942	1	11364	1	3495	1	14859	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	159	1	123	1	36	1	61	1	16	1	45	1	220	1
10956040	011040040061000000000	011040040	LAWRENCE COUNTY	LAWRENCE COUNTY SHERIFFS OFFICE	2016	MOULTON	1	35650	01	01079	8	5.15508193	4.90361452	18	1	150	1	135	1	20	1	155	1	1	0	5	1	0	0	110	1	25	1	0	0	0	0	135	1	0	0	25	1	110	1	135	1	75	1	50	1	house for other agency	10	1	135	1	105	1	25	1	5	1	0	1	0	1	0	1	0	1	 	0	1	0	1	135	1	0	1	1	1	0	1	0	1	 	0	1	1	0	0	1	0	1	8	1	0	1	10	1	16	135	1	100	1	25	1	125	1	125	1	1000	1	696	1	1696	0	1000	1	677	1	1677	0	5	1	0	1	0	1	0	1	10	1	0	1	5	1	 	0	1	20	1	8	0	6	0	2	0	4	0	4	0	0	0	12	0
10956041	011041041061000000000	011041041	LEE COUNTY	LEE COUNTY SHERIFFS OFFICE	2016	OPELIKA	1	36801	01	01081	7	1.30404508	1.27884614	17	1	347	0	340	0	0	0	340	0	1	0	7	0	13	0	293	0	46	0	1	0	0	0	340	0	1	0	89	0	251	0	340	0	193	0	104	0	UNKNOWN/FEDERAL	43	0	340	0	143	0	186	0	11	0	0	0	0	0	0	0	0	0	 	0	0	0	0	340	0	14	0	0	0	0	0	0	0	 	0	0	9	0	0	0	0	0	35	0	0	0	58	0	13	350	0	305	0	56	0	361	0	424	0	5458	0	1809	0	7267	0	5488	0	1814	0	7302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	54	0	37	0	17	0	15	0	5	0	10	0	69	0
10956043	011043043061000000000	011043043	LOWNDES COUNTY	LOWNDES COUNTY SHERIFFS OFFICE	2016	HAYNEVILLE	1	36040	01	01085	9	9.29508197	9	19	1	35	1	35	1	0	0	35	1	0	0	-9	-9	0	0	35	0	0	0	0	0	0	0	35	1	0	0	10	1	25	1	35	1	27	1	8	1	 	0	1	35	1	3	0	32	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	35	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	5	1	1	1	6	1	15	38	1	45	1	2	1	47	1	119	0	170	1	25	1	195	1	100	1	25	1	125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	13	1	6	0	7	0	3	0	2	0	1	0	16	0
10956045	011045045060000000200	011045045	LIMESTONE COUNTY, MADISON COUNTY	MADISON COUNTY SHERIFFS OFFICE	2016	HUNTSVILLE	1	35801	01	01089	1	1.05357143	1	8	1	878	0	783	1	0	0	783	1	1	0	0	1	0	0	673	1	107	1	2	1	1	1	783	1	3	1	23	1	760	1	783	1	511	1	272	1	 	0	0	783	1	382	1	376	1	23	1	0	0	0	0	0	0	0	0	other- Iranian and Indian	2	0	0	0	783	1	0	0	0	0	0	0	0	0	 	0	0	7	0	0	0	0	0	0	0	0	0	7	0	5	802	0	697	1	150	1	847	1	1220	1	10645	1	4128	1	14773	1	10668	1	4146	1	14814	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	55	0	35	0	20	0	36	0	17	0	19	0	91	0
10956050	011051051061000000000	011051051	MONTGOMERY COUNTY	MONTGOMERY COUNTY SHERIFFS OFFICE	2016	MONTGOMERY	1	36104	01	01101	7	1.30404508	1.27884614	17	1	500	0	467	0	0	0	467	0	1	0	0	0	97	0	429	0	38	0	0	0	0	0	467	0	0	0	109	0	358	0	467	0	368	0	20	0	USM  Holding for Other  By Order of Court  Holding	79	0	467	0	88	0	371	0	8	0	0	0	0	0	0	0	0	0	 	0	0	0	0	467	0	20	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	25	0	0	0	45	0	8	530	0	484	0	66	0	550	0	1290	0	4113	0	892	0	5005	0	4095	0	883	0	4978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	139	0	64	0	75	0	42	0	18	0	24	0	181	0
10956051	011052052061000000000	011052052	LIMESTONE COUNTY, MORGAN COUNTY	MORGAN COUNTY SHERIFFS OFFICE	2016	DECATUR	1	35601	01	01103	7	1.30404508	1.27884614	17	1	425	1	425	1	0	0	425	1	1	0	10	1	3	1	350	1	75	1	0	0	0	0	425	1	0	0	175	1	250	1	425	1	275	0	150	0	 	0	0	425	1	300	1	90	1	35	1	0	0	0	0	0	0	0	0	 	0	0	0	0	425	1	25	1	0	0	0	0	0	0	 	0	0	40	1	0	0	0	0	10	1	0	0	75	1	1	450	1	360	1	65	1	425	1	510	1	6000	1	2000	1	8000	1	4000	1	1000	1	5000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	106	1	66	1	40	1	8	1	8	1	0	0	114	1
10956056	011057057061000000000	011057057	LEE COUNTY, RUSSELL COUNTY	RUSSELL COUNTY SHERIFF'S DEPARTMENT	2016	PHENIX CITY	1	36869	01	01113	2	2.71428561	2.71428561	13	1	201	1	222	1	13	1	235	1	1	0	6	1	2	1	193	1	26	1	3	1	0	1	222	1	3	1	46	1	176	1	222	1	165	1	57	1	 	0	1	222	1	96	1	116	1	9	1	0	1	1	1	0	1	0	1	 	0	1	0	1	222	1	3	1	0	1	2	1	0	1	 	0	1	0	1	0	1	0	0	0	1	0	1	5	1	3	247	1	198	1	30	1	228	1	355	1	2522	1	956	1	3478	1	2717	1	1109	1	3826	1	13	1	0	1	0	1	0	1	0	1	0	1	0	1	 	0	1	13	1	50	1	28	1	22	1	7	1	4	1	3	1	57	1
10956058	011059059061000000000	011059059	SHELBY COUNTY	SHELBY COUNTY SHERIFF'S OFFICE	2016	COLUMBIANA	1	35051	01	01117	2	2.71428561	2.71428561	13	1	462	0	443	0	0	0	443	0	0	0	-9	-9	0	1	363	0	80	0	0	0	0	0	443	0	0	0	25	1	418	1	443	0	354	1	89	1	 	0	0	443	0	275	1	164	1	4	1	0	0	0	0	0	0	0	0	 	0	0	0	0	443	0	11	0	0	0	0	0	0	0	 	0	0	116	0	0	0	0	0	8	0	0	0	135	0	19	461	0	364	1	80	1	444	1	544	0	4599	1	1010	1	5609	1	4580	1	1005	1	5585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	67	0	55	0	12	0	11	0	6	0	5	0	78	0
10956060	011061061061000000000	011061061	TALLADEGA COUNTY	TALLADEGA COUNTY SHERIFF'S OFFICE/JAIL	2016	TALLADEGA	1	35161	01	01121	7	1.30404508	1.27884614	17	1	315	0	242	0	0	0	242	0	0	0	-9	-9	2	1	162	0	80	0	0	0	0	0	242	0	0	0	83	1	159	1	242	0	220	1	22	1	 	0	0	242	0	140	0	96	0	6	0	0	0	0	0	0	0	0	0	 	0	0	0	0	242	0	2	1	0	0	0	0	0	0	 	0	0	60	0	0	1	0	0	0	0	0	0	62	0	16	249	0	165	1	80	1	245	0	485	0	2767	1	1164	1	3931	1	2500	1	1431	1	3931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	45	1	30	1	15	1	4	0	2	0	2	0	49	0
10956064	011065065061000000000	011065065	WASHINGTON COUNTY	WASHINGTON COUNTY SHERIFFS OFFICE	2016	CHATOM	1	36518	01	01129	7	1.30404508	1.27884614	17	1	45	0	45	0	0	0	45	0	0	0	-9	-9	0	0	38	0	7	0	0	0	0	0	45	0	0	0	20	1	25	1	45	0	20	1	25	1	 	0	0	45	0	17	0	21	0	0	0	7	0	0	0	0	0	0	0	 	0	0	0	0	45	0	0	0	0	0	0	0	0	0	 	0	0	10	1	0	0	0	0	0	0	0	0	10	0	6	56	0	40	1	10	1	50	1	69	0	879	0	156	0	1035	0	879	0	156	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	5	0	3	0	2	0	28	1	18	1	10	1	33	0
10956069	012002005061000000000	012002005	BALDWIN COUNTY	CITY OF FOLEY POLICE DEPARTMENT	2016	FOLEY	1	36535	01	01003	9	9.29508197	9	19	1	46	1	37	1	0	0	37	1	0	0	-9	-9	1	0	30	1	7	1	0	0	0	0	37	1	0	0	11	1	26	1	37	1	1	1	33	1	Local Ordinance/Violation	3	1	37	1	28	1	8	1	1	1	0	0	0	0	0	0	0	1	 	0	0	0	0	37	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	5	1	0	0	5	1	31	37	1	24	1	7	1	31	1	55	1	2473	1	1078	1	3551	1	2487	1	1078	1	3565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	13	1	6	1	7	1	0	0	0	0	0	0	13	1
10956074	012008007061000000000	012008007	CALHOUN COUNTY, CHEROKEE COUNTY	PIEDMONT POLICE DEPARTMENT	2016	PIEDMONT	1	36272	01	01015	10	15.15689616	14.89999962	20	1	5	0	4	0	0	0	4	0	0	0	-9	-9	0	0	4	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	4	0	 	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	4	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	5	1	2	1	7	1	10	1	350	0	142	0	492	0	346	0	142	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	17	0	9	0	8	0	17	0
10956088	012037001061000000000	012037001	JEFFERSON COUNTY	CITY OF ADAMSVILLE JAIL	2016	ADAMSVILLE	1	35005	01	01073	10	15.15689616	14.89999962	20	1	10	0	7	0	0	0	7	0	0	0	-9	-9	0	0	5	0	2	0	0	0	0	0	7	0	0	0	0	0	7	0	7	0	0	0	7	0	 	0	0	7	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	 	0	0	0	0	7	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1	3	1	1	1	4	1	30	1	451	1	225	1	676	1	446	1	223	1	669	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	11	0	3	0	8	0	0	0	0	0	0	0	11	0
10956093	012037009061000000000	012037009	JEFFERSON COUNTY	FULTONDALE POLICE DEPARTMENT	2016	FULTONDALE	1	35068	01	01073	10	15.15689616	14.89999962	20	1	1	0	0	0	0	0	0	0	0	0	-9	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	3	0	22	0	175	0	70	0	245	0	175	0	70	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	6	0	2	0	4	0	1	0	0	0	1	0	7	0
10956109	012048005061000000000	012048005	MARSHALL COUNTY	GUNTERSVILLE POLICE DEPARTMENT	2016	GUNTERSVILLE	1	35976	01	01095	10	15.15689616	14.89999962	20	1	11	1	6	1	0	0	6	1	1	0	2	1	0	0	6	1	0	1	0	0	0	0	6	1	0	0	6	0	0	0	6	1	0	0	6	1	 	0	0	6	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	6	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	3	1	0	0	3	1	21	9	1	8	1	3	1	11	1	20	1	1008	1	504	1	1512	1	999	1	504	1	1503	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	5	1	5	1	0	0	0	1	0	0	0	0	5	1
10958902	012049601061000000000	012049601	MOBILE COUNTY	CREOLA POLICE DEPARTMENT	2016	CREOLA	1	36525	01	01097	1	1	1	12	1	3	1	3	1	3	1	6	1	0	0	-9	-9	0	0	2	1	1	1	0	1	0	1	3	1	0	0	3	1	0	1	3	1	3	1	0	0	 	0	0	3	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	 	0	1	0	1	3	1	0	0	0	0	0	0	0	0	 	0	0	3	1	0	1	0	0	0	1	0	0	3	1	26	4	1	3	1	1	1	4	1	7	1	137	1	77	1	214	1	137	1	77	1	214	1	0	0	0	0	3	1	0	1	0	0	0	0	0	0	 	0	0	3	1	4	1	1	1	3	1	10	1	7	1	3	1	14	0
10956116	012051001061000000000	012051001	MONTGOMERY COUNTY	MONTGOMERY MUNICIPAL JAIL	2016	MONTGOMERY	1	36104	01	01101	7	1.30404508	1.27884614	17	1	144	1	101	1	3	1	104	1	1	0	3	1	1	0	91	1	10	1	0	0	0	0	101	1	0	0	87	0	14	0	101	1	52	0	49	0	 	0	0	101	1	39	0	59	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	101	1	52	0	0	0	3	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	55	0	4	145	1	111	1	28	1	139	1	272	0	5965	1	1491	1	7456	1	5973	1	1493	1	7466	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	 	0	0	3	1	46	0	17	0	29	0	4	0	2	0	2	0	50	0
10956144	031003003061000000000	031003003	COCONINO COUNTY	COCONINO COUNTY SHERIFFS OFFICE	2016	FLAGSTAFF	3	86001	04	04005	7	1.30404508	1.27884614	17	1	451	0	413	0	0	0	413	0	0	0	-9	-9	8	1	322	0	90	0	1	0	0	0	413	0	1	0	120	1	293	1	413	0	170	1	243	1	 	0	0	413	0	176	1	7	1	30	1	200	1	0	0	0	0	0	0	 	0	0	0	0	413	0	13	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	13	0	4	443	0	322	0	76	0	398	0	596	0	7704	0	2241	0	9945	0	7689	0	2240	0	9929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	86	0	67	0	19	0	67	0	21	0	46	0	153	0
10950161	031007007060000000700	031007007	MARICOPA COUNTY	MARICOPA COUNTY SHERIFF'S OFFICE	2016	PHOENIX	3	85003	04	04013	1	1.0546875	1	7	1	7396	0	7393	0	0	0	7393	0	1	0	239	1	583	1	6248	0	1068	0	69	0	8	0	7393	0	77	0	1641	0	5752	0	7393	0	6453	0	828	0	Holds and Unknown	112	0	7393	0	4421	0	1377	0	1144	0	344	0	39	0	0	0	0	0	 	0	0	68	0	7393	0	7	0	6	0	3	0	0	0	 	0	0	47	0	0	0	3	0	31	0	3	0	100	0	13	7620	0	6517	0	1147	0	7664	0	11051	0	72225	0	22736	0	94961	0	71196	0	22389	0	93585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1795	0	1318	0	477	0	170	0	59	0	111	0	1965	0
10956148	031008008061000000000	031008008	MOHAVE COUNTY	MOHAVE COUNTY SHERIFF'S OFFICE	2016	KINGMAN	3	86401	04	04015	1	1.05357143	1	8	1	449	0	452	0	0	0	452	0	0	0	-9	-9	7	0	347	0	101	0	4	0	0	0	452	0	4	0	53	0	399	0	452	0	363	0	64	0	UNDESIGNATED	25	0	452	0	359	0	20	0	52	0	20	0	1	0	0	0	0	0	 	0	0	0	0	452	0	1	0	0	0	7	0	0	0	 	0	0	10	0	1	0	0	0	10	0	16	0	45	0	12	461	0	360	0	95	0	455	0	688	0	6259	0	2522	0	8781	0	6345	0	2397	0	8742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	112	0	92	0	20	0	23	0	5	0	18	0	135	0
10956149	031009009061000000000	031009009	NAVAJO COUNTY	NAVAJO COUNTY SHERIFFS OFFICE	2016	HOLBROOK	3	86025	04	04017	7	1.30404508	1.27884614	17	1	276	0	276	0	0	0	276	0	1	0	1	0	6	0	215	0	59	0	2	0	0	0	276	0	2	0	85	0	191	0	276	0	241	0	33	0	child support	2	0	276	0	94	0	10	0	37	0	129	0	0	0	0	0	0	0	 	0	0	6	0	276	0	0	0	0	0	0	0	38	0	 	0	0	0	0	0	0	30	0	4	0	2	0	74	0	14	291	0	222	1	54	1	276	1	444	0	3441	3	970	3	4411	3	5554	0	1271	0	6825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	52	0	44	0	8	0	24	0	3	0	21	0	76	0
10950164	031010010060000000800	031010010	PIMA COUNTY	PIMA COUNTY SHERIFF'S DEPARTMENT	2016	TUCSON	3	85714	04	04019	1	1.0546875	1	7	1	1832	0	1843	1	14	1	1857	1	1	0	0	0	111	1	1540	1	288	1	13	1	2	1	1843	1	15	1	202	1	1641	1	1843	1	626	1	1203	1	probation violations  child support	14	1	1843	1	811	1	172	1	715	1	123	1	22	1	0	1	0	1	 	0	1	0	1	1843	1	0	1	0	1	16	1	0	1	 	0	1	18	1	0	1	0	1	0	1	0	1	34	1	2	1941	0	1561	1	279	1	1840	1	2096	1	26022	1	4592	1	30614	1	26097	1	4606	1	30703	1	14	1	0	1	0	1	0	1	0	1	0	1	0	1	 	0	1	14	1	399	1	302	1	97	1	141	1	52	1	89	1	540	0
10956150	031011011061000000000	031011011	PINAL COUNTY	Pinal County Sheriff's Office	2016	FLORENCE	3	85132	04	04021	1	1.0546875	1	7	1	611	0	582	1	0	1	582	1	0	0	-9	-9	-9	-9	476	1	102	1	4	1	0	1	582	1	4	1	582	3	0	3	582	1	582	3	0	3	 	0	3	582	1	162	3	420	3	0	3	0	3	0	3	0	3	0	3	 	0	3	0	3	582	1	0	3	0	3	0	3	0	3	 	0	3	582	3	0	3	0	3	0	3	0	3	582	3	4	613	1	549	1	110	1	659	1	1503	1	8665	1	2880	1	11545	1	8738	1	2871	1	11609	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	76	1	45	1	31	1	7	1	2	1	5	1	83	1
