Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: svraca1215t01.csv,,,,,,,,,,,,,,
"Table 1. National estimates of allegations of sexual victimization, by type of facility, 2005 and 2010–15",,,,,,,,,,,,,,
"Report title: Sexual Victimization Reported by Adult Correctional Authorities, 2012-15 NCJ 251146",,,,,,,,,,,,,,
"Data source: Survey of Sexual Victimization, 2005 and 2010–15",,,,,,,,,,,,,,
"Author: Ramona R. Rantala, BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,
Date of version: 7/24/2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 1. National estimates of allegations of sexual victimization, by type of facility, 2005 and 2010–15",,,,,,,,,,,,,,
Type of facility,,2015*,2014,,2013,,2012,,2011,,2010,,2005,
,Total,"24,661","18,891", †,"13,568", †,"10,047", †,"8,768", †,"8,404", †,"6,241", †
Prisons/a ,,"18,666","13,794", †,"9,850", †,"7,575", †,"6,660", †,"6,648", †,"4,791", †
,Public - federal,740,776, †,879, †,718, †,488, †,479, †,268,/b
,Public - state,"16,940","12,186", †,"8,394", †,"6,433", †,"5,765", †,"5,812", †,"4,341", †
Jails/c ,,"5,809","4,905", †,"3,577", †,"2,411", †,"2,047", †,"1,700", †,"1,406", †
Other adult facilities,,,,,,,,,,,,,,
,Military,35,37, †,16, †,7, †,4, †,6, †,8, †
,Immigration and Customs Enforcement,151,148, †,125, †,54, †,50, †,46, †,4, †
,Indian country jails/d,0,7, †,0,,0,,^,,^,,32, †
Note: Excludes inmate-on-inmate sexual harassment. See appendix table 3 for standard errors.,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,
"†Difference with comparison year is significant at the 95% confidence level. Federal prisons, state prisons, military facilities and ICE facilities are complete enumerations rather than a sample, so any difference with comparison year is significant. See footnote b for one exception.",,,,,,,,,,,,,,
^Too few cases to provide a reliable estimate.,,,,,,,,,,,,,,
"a/Includes federal, state, and private prisons.",,,,,,,,,,,,,,
b/Estimates for federal prisons in 2005 are not comparable to those for other years due to a change in reporting.,,,,,,,,,,,,,,
c/Includes local and private jails.,,,,,,,,,,,,,,
d/Excludes facilities housing only juveniles.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2005 and 2010–15.",,,,,,,,,,,,,,
