Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename:  svrfsp08at20.csv,,,,,,,,,,,,,,
"Appendix table 20. Post-release responses of victims to sexual victimization, by type of incident",,,,,,,,,,,,,,
"Report title:  Sexual Victimizations Reported by Former State Prisoners, 2008",,,,,,,,,,,,,,
Data source:  National Former Prisoner Survey,,,,,,,,,,,,,,
Author: Allen Beck,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,
Date of version:  5/17/2012,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Appendix Table 20. Post-release responses of victims to sexual victimization, by type of incident",,,,,,,,,,,,,,
,,,,Inmate-on-inmate,,,,,Staff sexual misconduct,,,,,
,,All victims,,Total/a,,Nonconsensual sexual acts,,,Total,,Willing activity/b,,Unwilling activity/b,
,"Number of victimsc,d","47,000",,"26,200",,"18,000",,,"26,100",,"22,500",,"5,900",
Discussed victimization with at least one individual/d,,51.4,%,43.7,%,44.6,%,,56.8,%,60.1,%,35.9,%
,"Husband/wife, boyfriend/girlfriend, or other partner",30.9,,26.9,,27,,,33.7,,35,,25.8,
,Children,2.7,,2.9,,2.5,,,2.4,,2.4,,3.5,
,Parents,14.7,,13,,10.7,,,15.6,,15.5,,12.9,
,Other family member,26.3,,15.5,,14.8,,,34.9,,38.2,,16.1,
,Friends,38.4,,26,,26.7,,,47.8,,52.4,,20.2,
,Minister or other religious leader,5.6,,7.7,,7.7,,,3.4,,2.7,,9.4,
,Therapist or treatment professional,11.7,,16.1,,17.3,,,7.1,,6.6,,12.9,
,Parole officer,3.5,,4.9,,5.9,,,2,,1.4,,4.1,
,Another inmate,29.6,,22.7,,22.4,,,34.5,,37,,17,
Had feelings or thoughts about victimization/d,,,,,,,,,,,,,,
,Guilt,40.5,%,55.7,%,67.2,%,,31.3,%,26.9,%,72.2,%
,Shame or humiliation,47.9,,71.9,,79.8,,,29.6,,22.6,,79.1,
,Revenge against someone victim was angry with,15.3,,23.2,,24.9,,,9.5,,6.8,,27.6,
,Difficulty feeling close to friends/family members,24.9,,37,,44.7,,,17.9,,13.1,,54.1,
Participated in treatment to deal with victimization/d,,13.3,%,20.5,%,23.5,%,,7.8,%,6.6,%,16.6,%
,Saw therapist or counselor,9.7,,15.4,,17.3,,,5.8,,5.1,,12.1,
,Participated in self-help group for emotional/mental health  problems,9.6,,14.5,,16.2,,,6.1,,4.9,,14.2,
,Enrolled in treatment program (other than counseling) for emotional/mental health problems,5.4,,8.5,,10.5,,,3.4,,2.7,,7.4,
,Took medication to treat emotional/mental health problems,6.9,,10.5,,12.2,,,4.1,,2.7,,12.3,
,Hospitalized for emotional/mental health problems,2.7,,4.1,,4.9,,,1.4,,1.2,,3,
Note: See appendix table 7 for estimated standard errors.,,,,,,,,,,,,,,
a/Includes abusive sexual contacts.,,,,,,,,,,,,,,
b/Includes touching only.,,,,,,,,,,,,,,
c/Detail may not sum to total because respondents may report more than one type of victimization.,,,,,,,,,,,,,,
d/Interviews conducted in the pretest were excluded due to changes in the questionnaire design. See Methodology for a detailed discussion of merged data files. ,,,,,,,,,,,,,,
"Source: BJS, National Former Prisoner Survey, 2008.",,,,,,,,,,,,,,
